"","TAVG","TMAX","TMIN","TOBS","DAPR","MDPR","PRCP","SNOW","SNWD","AWND","PGTM","WDF2","WDF5","DATE","NAME"
"1",NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,"2023/1/1","WOOD RIDGE 0.2 N, NJ US"
"2",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/1/2","WOOD RIDGE 0.2 N, NJ US"
"3",NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,"2023/1/3","WOOD RIDGE 0.2 N, NJ US"
"4",NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,"2023/1/4","WOOD RIDGE 0.2 N, NJ US"
"5",NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,"2023/1/5","WOOD RIDGE 0.2 N, NJ US"
"6",NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,"2023/1/6","WOOD RIDGE 0.2 N, NJ US"
"7",NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,"2023/1/7","WOOD RIDGE 0.2 N, NJ US"
"8",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/1/8","WOOD RIDGE 0.2 N, NJ US"
"9",NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,"2023/1/9","WOOD RIDGE 0.2 N, NJ US"
"10",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/1/10","WOOD RIDGE 0.2 N, NJ US"
"11",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/1/11","WOOD RIDGE 0.2 N, NJ US"
"12",NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,"2023/1/12","WOOD RIDGE 0.2 N, NJ US"
"13",NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,"2023/1/13","WOOD RIDGE 0.2 N, NJ US"
"14",NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,"2023/1/14","WOOD RIDGE 0.2 N, NJ US"
"15",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/1/15","WOOD RIDGE 0.2 N, NJ US"
"16",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/1/16","WOOD RIDGE 0.2 N, NJ US"
"17",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/1/17","WOOD RIDGE 0.2 N, NJ US"
"18",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"2023/1/18","WOOD RIDGE 0.2 N, NJ US"
"19",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/1/19","WOOD RIDGE 0.2 N, NJ US"
"20",NA,NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,"2023/1/20","WOOD RIDGE 0.2 N, NJ US"
"21",NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,"2023/1/21","WOOD RIDGE 0.2 N, NJ US"
"22",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/1/22","WOOD RIDGE 0.2 N, NJ US"
"23",NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,"2023/1/23","WOOD RIDGE 0.2 N, NJ US"
"24",NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,"2023/1/24","WOOD RIDGE 0.2 N, NJ US"
"25",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"2023/1/25","WOOD RIDGE 0.2 N, NJ US"
"26",NA,NA,NA,NA,NA,NA,1.37,0,NA,NA,NA,NA,NA,"2023/1/26","WOOD RIDGE 0.2 N, NJ US"
"27",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/1/27","WOOD RIDGE 0.2 N, NJ US"
"28",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/1/28","WOOD RIDGE 0.2 N, NJ US"
"29",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/1/29","WOOD RIDGE 0.2 N, NJ US"
"30",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"2023/1/30","WOOD RIDGE 0.2 N, NJ US"
"31",NA,NA,NA,NA,NA,NA,0.04,0,NA,NA,NA,NA,NA,"2023/1/31","WOOD RIDGE 0.2 N, NJ US"
"32",NA,NA,NA,NA,NA,NA,0.06,NA,0,NA,NA,NA,NA,"2023/2/1","WOOD RIDGE 0.2 N, NJ US"
"33",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/2","WOOD RIDGE 0.2 N, NJ US"
"34",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/3","WOOD RIDGE 0.2 N, NJ US"
"35",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/4","WOOD RIDGE 0.2 N, NJ US"
"36",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/5","WOOD RIDGE 0.2 N, NJ US"
"37",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/6","WOOD RIDGE 0.2 N, NJ US"
"38",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/7","WOOD RIDGE 0.2 N, NJ US"
"39",NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,"2023/2/8","WOOD RIDGE 0.2 N, NJ US"
"40",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/9","WOOD RIDGE 0.2 N, NJ US"
"41",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"2023/2/10","WOOD RIDGE 0.2 N, NJ US"
"42",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/11","WOOD RIDGE 0.2 N, NJ US"
"43",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/12","WOOD RIDGE 0.2 N, NJ US"
"44",NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,"2023/2/13","WOOD RIDGE 0.2 N, NJ US"
"45",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/14","WOOD RIDGE 0.2 N, NJ US"
"46",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/15","WOOD RIDGE 0.2 N, NJ US"
"47",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/16","WOOD RIDGE 0.2 N, NJ US"
"48",NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,"2023/2/17","WOOD RIDGE 0.2 N, NJ US"
"49",NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,"2023/2/18","WOOD RIDGE 0.2 N, NJ US"
"50",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/19","WOOD RIDGE 0.2 N, NJ US"
"51",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/20","WOOD RIDGE 0.2 N, NJ US"
"52",NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,"2023/2/21","WOOD RIDGE 0.2 N, NJ US"
"53",NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,"2023/2/22","WOOD RIDGE 0.2 N, NJ US"
"54",NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,"2023/2/23","WOOD RIDGE 0.2 N, NJ US"
"55",NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,"2023/2/24","WOOD RIDGE 0.2 N, NJ US"
"56",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/25","WOOD RIDGE 0.2 N, NJ US"
"57",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/26","WOOD RIDGE 0.2 N, NJ US"
"58",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/2/27","WOOD RIDGE 0.2 N, NJ US"
"59",NA,NA,NA,NA,NA,NA,0.56,2.5,NA,NA,NA,NA,NA,"2023/2/28","WOOD RIDGE 0.2 N, NJ US"
"60",NA,NA,NA,NA,NA,NA,0.07,0,NA,NA,NA,NA,NA,"2023/3/1","WOOD RIDGE 0.2 N, NJ US"
"61",NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,"2023/3/2","WOOD RIDGE 0.2 N, NJ US"
"62",NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,"2023/3/3","WOOD RIDGE 0.2 N, NJ US"
"63",NA,NA,NA,NA,NA,NA,1.35,NA,NA,NA,NA,NA,NA,"2023/3/4","WOOD RIDGE 0.2 N, NJ US"
"64",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/5","WOOD RIDGE 0.2 N, NJ US"
"65",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/6","WOOD RIDGE 0.2 N, NJ US"
"66",NA,NA,NA,NA,NA,NA,0.07,0,NA,NA,NA,NA,NA,"2023/3/7","WOOD RIDGE 0.2 N, NJ US"
"67",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/8","WOOD RIDGE 0.2 N, NJ US"
"68",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/9","WOOD RIDGE 0.2 N, NJ US"
"69",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/10","WOOD RIDGE 0.2 N, NJ US"
"70",NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,"2023/3/11","WOOD RIDGE 0.2 N, NJ US"
"71",NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,"2023/3/12","WOOD RIDGE 0.2 N, NJ US"
"72",NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,"2023/3/13","WOOD RIDGE 0.2 N, NJ US"
"73",NA,NA,NA,NA,NA,NA,0.55,0,NA,NA,NA,NA,NA,"2023/3/14","WOOD RIDGE 0.2 N, NJ US"
"74",NA,NA,NA,NA,NA,NA,0.03,0,NA,NA,NA,NA,NA,"2023/3/15","WOOD RIDGE 0.2 N, NJ US"
"75",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/16","WOOD RIDGE 0.2 N, NJ US"
"76",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/17","WOOD RIDGE 0.2 N, NJ US"
"77",NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,"2023/3/18","WOOD RIDGE 0.2 N, NJ US"
"78",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/19","WOOD RIDGE 0.2 N, NJ US"
"79",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/20","WOOD RIDGE 0.2 N, NJ US"
"80",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/21","WOOD RIDGE 0.2 N, NJ US"
"81",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/22","WOOD RIDGE 0.2 N, NJ US"
"82",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"2023/3/23","WOOD RIDGE 0.2 N, NJ US"
"83",NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,"2023/3/24","WOOD RIDGE 0.2 N, NJ US"
"84",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"2023/3/25","WOOD RIDGE 0.2 N, NJ US"
"85",NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,"2023/3/26","WOOD RIDGE 0.2 N, NJ US"
"86",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/27","WOOD RIDGE 0.2 N, NJ US"
"87",NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,"2023/3/28","WOOD RIDGE 0.2 N, NJ US"
"88",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/29","WOOD RIDGE 0.2 N, NJ US"
"89",NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,"2023/3/30","WOOD RIDGE 0.2 N, NJ US"
"90",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/3/31","WOOD RIDGE 0.2 N, NJ US"
"91",NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,"2023/4/1","WOOD RIDGE 0.2 N, NJ US"
"92",NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,"2023/4/2","WOOD RIDGE 0.2 N, NJ US"
"93",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/3","WOOD RIDGE 0.2 N, NJ US"
"94",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/4","WOOD RIDGE 0.2 N, NJ US"
"95",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/5","WOOD RIDGE 0.2 N, NJ US"
"96",NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,"2023/4/6","WOOD RIDGE 0.2 N, NJ US"
"97",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"2023/4/7","WOOD RIDGE 0.2 N, NJ US"
"98",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/8","WOOD RIDGE 0.2 N, NJ US"
"99",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/9","WOOD RIDGE 0.2 N, NJ US"
"100",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/10","WOOD RIDGE 0.2 N, NJ US"
"101",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/11","WOOD RIDGE 0.2 N, NJ US"
"102",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/12","WOOD RIDGE 0.2 N, NJ US"
"103",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/13","WOOD RIDGE 0.2 N, NJ US"
"104",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/14","WOOD RIDGE 0.2 N, NJ US"
"105",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/15","WOOD RIDGE 0.2 N, NJ US"
"106",NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,"2023/4/16","WOOD RIDGE 0.2 N, NJ US"
"107",NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,"2023/4/17","WOOD RIDGE 0.2 N, NJ US"
"108",NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,"2023/4/18","WOOD RIDGE 0.2 N, NJ US"
"109",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/19","WOOD RIDGE 0.2 N, NJ US"
"110",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/20","WOOD RIDGE 0.2 N, NJ US"
"111",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"2023/4/21","WOOD RIDGE 0.2 N, NJ US"
