STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT08,WT11
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/1,,,,,0.3,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/2,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/3,,,,,0.06,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/4,,,,,0.4,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/5,,,,,0.05,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/6,,,,,0.27,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/7,,,,,0.02,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/8,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/9,,,,,0.01,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/10,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/11,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/12,,,,,0.04,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/13,,,,,0.33,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/14,,,,,0.01,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/15,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/16,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/17,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/18,,,,,0,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/19,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/20,,,,,0.92,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/21,,,,,0.02,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/22,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/23,,,,,0.82,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/24,,,,,0.2,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/25,,,,,0,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/26,,,,,1.37,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/27,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/28,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/29,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/30,,,,,0,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/1/31,,,,,0.04,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/1,,,,,0.06,,0,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/2,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/3,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/4,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/5,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/6,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/7,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/8,,,,,0.04,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/9,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/10,,,,,0,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/11,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/12,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/13,,,,,0.07,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/14,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/15,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/16,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/17,,,,,0.07,,,,,,,,,,,,,,,,,,,
US1NJBG0064,"WOOD RIDGE 0.2 N, NJ US",2023/2/18,,,,,0.21,,,,,,,,,,,,,,,,,,,
